method,prior_mean_delta,prior_median_delta,prior_win_rate,prior_catastrophic_rate_plus5,prior_splits,prior_allowed,validation_fold
damped_tail_linear_Z,1.0599702528469745,0.557531471020273,0.40434083601286175,0.1937299035369775,1244,False,0
last_value,0.0,0.0,0.0,0.0,1244,True,0
recent_plateau_quantile,0.4633355869705689,0.08247492901326314,0.4220257234726688,0.03376205787781351,1244,False,0
self_corr_prefix_shape,0.11125914679579513,0.0,0.028938906752411574,0.013665594855305467,1244,False,0
damped_tail_linear_Z,1.1557805086353665,0.6652440292180093,0.4034653465346535,0.20462046204620463,1212,False,1
last_value,0.0,0.0,0.0,0.0,1212,True,1
recent_plateau_quantile,0.4857134725944005,0.0829560964463174,0.43399339933993397,0.03382838283828383,1212,False,1
self_corr_prefix_shape,0.16091966682616238,0.0,0.026402640264026403,0.018976897689768978,1212,False,1
damped_tail_linear_Z,1.1400068159064374,0.6355496533450233,0.39279869067103107,0.19476268412438624,1222,False,2
last_value,0.0,0.0,0.0,0.0,1222,True,2
recent_plateau_quantile,0.4251520511331095,0.08348987008856001,0.42635024549918166,0.027823240589198037,1222,False,2
self_corr_prefix_shape,0.08430760586935085,0.0,0.027004909983633387,0.011456628477905073,1222,False,2
damped_tail_linear_Z,1.1199091508833883,0.6803034259193679,0.3925233644859813,0.19781931464174454,1284,False,3
last_value,0.0,0.0,0.0,0.0,1284,True,3
recent_plateau_quantile,0.47238032696783255,0.08217360902702531,0.42757009345794394,0.03271028037383177,1284,False,3
self_corr_prefix_shape,0.14179045070157859,0.0,0.027258566978193146,0.01791277258566978,1284,False,3
damped_tail_linear_Z,1.1136398543708421,0.6355496533450233,0.3993453355155483,0.20212765957446807,1222,False,4
last_value,0.0,0.0,0.0,0.0,1222,True,4
recent_plateau_quantile,0.506289303185075,0.09782266205125856,0.4214402618657938,0.03355155482815057,1222,False,4
self_corr_prefix_shape,0.1745142085445434,0.0,0.02618657937806874,0.018821603927986905,1222,False,4
